x,y,timestamp,encoder_1_deg,encoder_2_deg
410,401,565,60.91,61.35
410,401,576,60.91,61.35
410,400,592,60.91,61.35
410,400,609,60.91,61.35
410,400,625,60.56,61.08
410,400,642,60.56,61.08
411,401,659,60.56,61.08
412,402,674,60.56,61.08
414,405,692,60.56,61.08
414,409,708,60.56,61.08
414,412,725,60.56,61.17
414,416,743,60.56,61.17
413,419,758,60.56,61.17
410,425,774,60.56,61.17
408,430,791,60.56,61.17
405,434,807,60.56,61.17
401,438,824,60.56,61.17
396,442,840,60.64,61.26
392,446,857,60.64,61.26
389,448,871,60.64,61.26
384,451,888,60.64,61.26
379,453,904,60.64,61.26
374,454,921,60.64,61.26
370,453,937,60.82,61.44
365,452,953,60.82,61.44
360,450,969,60.82,61.44
356,446,985,60.82,61.44
351,444,1002,60.82,61.44
346,442,1019,60.82,61.44
342,439,1035,60.91,61.26
338,435,1052,60.91,61.26
334,431,1068,60.91,61.26
332,426,1086,60.91,61.26
330,421,1101,60.91,61.26
328,417,1117,60.91,61.26
326,410,1133,60.47,61.35
326,399,1152,60.47,61.35
326,392,1167,60.47,61.35
326,384,1183,60.47,61.35
326,375,1200,60.47,61.35
326,373,1217,60.47,61.35
326,369,1233,58.62,63.02
327,363,1250,58.62,63.02
328,357,1267,58.62,63.02
330,350,1283,58.62,63.02
331,345,1299,58.62,63.02
334,340,1317,58.62,63.02
336,335,1334,58.62,63.02
339,330,1350,56.87,63.81
342,326,1367,56.87,63.81
346,322,1383,56.87,63.81
351,319,1400,56.87,63.81
355,316,1416,56.87,63.81
360,314,1433,56.87,63.81
366,311,1449,55.99,64.25
371,309,1465,55.99,64.25
378,307,1483,55.99,64.25
386,304,1498,55.99,64.25
394,302,1513,55.99,64.25
403,300,1530,55.99,64.25
411,298,1547,55.72,63.98
419,298,1564,55.72,63.98
427,297,1580,55.72,63.98
435,296,1597,55.72,63.98
440,297,1613,55.72,63.98
448,298,1631,55.72,63.98
456,299,1646,55.63,63.28
466,302,1666,55.63,63.28
467,303,1680,55.63,63.28
471,305,1696,55.63,63.28
478,308,1714,55.63,63.28
489,313,1730,55.63,63.28
