x,y,timestamp,encoder_1_deg,encoder_2_deg
409,400,336,58.36,62.49
409,400,351,58.36,62.49
409,401,369,58.36,62.49
410,402,385,58.36,62.49
411,402,402,58.36,62.49
412,404,419,58.27,62.40
414,406,437,58.27,62.40
414,408,453,58.27,62.40
415,410,471,58.27,62.40
416,414,488,58.27,62.40
416,417,505,58.27,62.40
416,421,521,58.36,62.05
415,426,538,58.36,62.05
414,430,555,58.36,62.05
413,434,571,58.36,62.05
411,437,587,58.36,62.05
410,439,606,58.36,62.05
408,441,622,58.45,62.23
406,442,637,58.45,62.23
402,442,654,58.45,62.23
398,442,670,58.45,62.23
395,442,687,58.45,62.23
392,442,704,58.45,62.23
388,442,720,58.45,62.31
385,441,737,58.45,62.31
381,439,753,58.45,62.31
377,437,768,58.45,62.31
373,435,785,58.45,62.31
368,434,802,58.45,62.31
363,432,819,58.45,62.31
358,430,837,58.36,62.40
354,428,852,58.36,62.40
350,426,869,58.36,62.40
345,425,885,58.36,62.40
339,421,902,58.36,62.40
334,419,920,58.36,62.40
330,417,936,58.27,62.58
325,414,953,58.27,62.58
321,410,969,58.27,62.58
317,406,985,58.27,62.58
312,402,1002,58.27,62.58
309,398,1018,58.27,62.58
306,393,1035,57.83,63.54
303,386,1051,57.83,63.54
302,378,1067,57.83,63.54
302,370,1085,57.83,63.54
303,358,1102,57.83,63.54
305,353,1116,57.83,63.54
307,345,1132,56.25,65.21
311,338,1149,56.25,65.21
315,330,1165,56.25,65.21
321,322,1182,56.25,65.21
323,318,1197,56.25,65.21
326,315,1214,56.25,65.21
332,309,1230,54.32,66.45
342,299,1248,54.32,66.45
353,291,1265,54.32,66.45
356,290,1282,54.32,66.45
366,285,1297,54.32,66.45
373,282,1315,54.32,66.45
379,280,1330,53.17,66.80
382,280,1347,53.17,66.80
390,279,1365,53.17,66.80
398,279,1380,53.17,66.80
407,279,1398,53.17,66.80
410,279,1412,53.17,66.80
413,280,1429,53.17,66.80
419,281,1445,53.09,66.27
430,282,1460,53.09,66.27
436,283,1479,53.09,66.27
439,284,1494,53.09,66.27
444,286,1510,53.09,66.27
452,289,1527,53.09,66.27
459,292,1545,53.09,65.57
464,294,1561,53.09,65.57
469,298,1576,53.09,65.57
477,302,1593,53.09,65.57
483,306,1609,53.09,65.57
490,311,1626,53.09,65.57
494,316,1645,53.17,64.69
502,320,1661,53.17,64.69
508,325,1676,53.17,64.69
514,331,1693,53.17,64.69
521,337,1709,53.17,64.69
527,346,1724,53.17,64.69
