x,y,timestamp,encoder_1_deg,encoder_2_deg
409,402,314,61.70,58.97
409,402,329,61.70,58.97
409,402,344,61.70,58.97
410,402,360,61.70,58.97
410,402,376,61.70,58.97
411,402,392,61.70,58.97
413,402,409,61.70,58.97
415,404,428,61.70,59.06
416,406,443,61.70,59.06
417,408,460,61.70,59.06
417,411,478,61.70,59.06
417,414,494,61.70,59.06
417,417,509,61.70,59.06
415,421,526,61.61,58.97
414,426,542,61.61,58.97
411,430,557,61.61,58.97
409,433,574,61.61,58.97
406,434,591,61.61,58.97
403,436,608,61.61,58.97
399,437,625,61.70,58.80
396,437,640,61.70,58.80
392,437,657,61.70,58.80
387,436,673,61.70,58.80
382,435,692,61.70,58.80
378,434,707,61.70,58.80
374,434,723,61.70,59.06
369,431,740,61.70,59.06
365,429,756,61.70,59.06
360,426,775,61.70,59.06
356,423,790,61.70,59.06
352,419,806,61.70,59.06
347,416,824,61.79,59.85
343,412,840,61.79,59.85
339,408,857,61.79,59.85
335,404,875,61.79,59.85
332,399,891,61.79,59.85
330,394,906,61.79,59.85
327,390,923,61.44,60.03
326,385,939,61.44,60.03
325,380,956,61.44,60.03
325,374,972,61.44,60.03
325,370,989,61.44,60.03
326,364,1006,61.44,60.03
327,358,1022,60.12,60.73
330,353,1039,60.12,60.73
333,347,1056,60.12,60.73
336,342,1073,60.12,60.73
340,337,1090,60.12,60.73
345,332,1107,60.12,60.73
350,327,1124,58.80,61.17
355,322,1141,58.80,61.17
360,317,1156,58.80,61.17
366,313,1174,58.80,61.17
371,310,1190,58.80,61.17
378,306,1207,58.80,61.17
384,303,1222,57.83,61.44
388,302,1238,57.83,61.44
397,298,1255,57.83,61.44
405,297,1271,57.83,61.44
408,296,1288,57.83,61.44
415,295,1304,57.83,61.44
421,295,1320,57.83,61.44
427,296,1338,57.83,61.08
436,297,1357,57.83,61.08
439,298,1371,57.83,61.08
446,301,1388,57.83,61.08
451,302,1403,57.83,61.08
458,305,1419,57.83,61.08
463,308,1434,57.83,60.73
467,312,1452,57.83,60.73
473,315,1469,57.83,60.73
479,320,1485,57.83,60.73
484,324,1502,57.83,60.73
490,328,1517,57.83,60.73
494,333,1534,58.01,59.85
498,336,1550,58.01,59.85
505,342,1567,58.01,59.85
507,345,1582,58.01,59.85
511,350,1599,58.01,59.85
515,357,1615,58.01,59.85
518,362,1630,58.97,58.71
521,369,1648,58.97,58.71
525,378,1666,58.97,58.71
530,392,1684,58.97,58.71
532,397,1699,58.97,58.71
535,406,1716,58.97,58.71
538,413,1734,61.17,57.57
539,417,1751,61.17,57.57
541,421,1768,61.17,57.57
542,426,1785,61.17,57.57
545,433,1801,61.17,57.57
546,442,1818,61.17,57.57
545,453,1835,62.75,56.69
543,460,1852,62.75,56.69
542,467,1867,62.75,56.69
539,475,1884,62.75,56.69
536,482,1900,62.75,56.69
533,488,1917,62.75,56.69
528,494,1935,62.75,56.69
523,503,1953,64.60,55.81
520,508,1969,64.60,55.81
517,511,1985,64.60,55.81
510,518,2001,64.60,55.81
498,526,2017,64.60,55.81
490,534,2034,64.60,55.81
482,539,2052,66.18,55.55
473,544,2068,66.18,55.55
461,550,2086,66.18,55.55
450,554,2103,66.18,55.55
440,558,2119,66.18,55.55
429,562,2136,66.18,55.55
417,564,2152,67.06,55.72
411,566,2167,67.06,55.72
397,566,2186,67.06,55.72
385,567,2202,67.06,55.72
374,567,2219,67.06,55.72
362,566,2237,67.06,55.72
352,565,2253,67.15,56.34
342,562,2270,67.15,56.34
331,560,2286,67.15,56.34
322,556,2304,67.15,56.34
313,553,2321,67.15,56.34
304,549,2337,67.15,56.34
296,545,2353,67.06,57.66
289,539,2370,67.06,57.66
283,534,2386,67.06,57.66
278,529,2403,67.06,57.66
270,519,2420,67.06,57.66
266,512,2437,67.06,57.66
262,504,2454,66.71,58.45
258,494,2471,66.71,58.45
254,486,2489,66.71,58.45
250,477,2505,66.71,58.45
246,467,2522,66.71,58.45
242,458,2539,66.71,58.45
238,448,2556,64.07,60.12
234,438,2571,64.07,60.12
233,429,2588,64.07,60.12
230,417,2605,64.07,60.12
227,408,2620,64.07,60.12
226,401,2637,64.07,60.12
223,391,2654,61.26,62.40
222,381,2670,61.26,62.40
220,370,2686,61.26,62.40
220,360,2703,61.26,62.40
219,349,2720,61.26,62.40
219,338,2737,61.26,62.40
220,327,2753,58.54,65.13
221,317,2770,58.54,65.13
222,307,2787,58.54,65.13
225,296,2804,58.54,65.13
228,286,2821,58.54,65.13
232,275,2839,58.54,65.13
235,266,2854,55.81,67.32
241,257,2871,55.81,67.32
246,247,2886,55.81,67.32
251,238,2904,55.81,67.32
258,230,2921,55.81,67.32
265,222,2937,55.81,67.32
271,214,2953,53.35,68.64
276,209,2968,53.35,68.64
284,203,2985,53.35,68.64
293,197,3001,53.35,68.64
301,190,3019,53.35,68.64
310,185,3035,53.35,68.64
319,179,3052,51.68,68.99
328,174,3069,51.68,68.99
338,170,3086,51.68,68.99
348,166,3102,51.68,68.99
357,162,3118,51.68,68.99
366,159,3134,51.68,68.99
377,157,3150,51.68,68.99
386,154,3165,50.71,68.91
396,154,3183,50.71,68.91
406,153,3200,50.71,68.91
415,153,3216,50.71,68.91
426,153,3232,50.71,68.91
436,153,3249,50.71,68.91
444,154,3265,50.63,68.47
455,156,3282,50.63,68.47
466,158,3298,50.63,68.47
473,160,3315,50.63,68.47
483,162,3331,50.63,68.47
490,164,3346,50.63,68.47
498,167,3362,50.71,66.88
506,170,3378,50.71,66.88
514,174,3396,50.71,66.88
523,177,3411,50.71,66.88
530,181,3428,50.71,66.88
538,185,3444,50.71,66.88
547,190,3461,50.71,65.57
554,194,3477,50.71,65.57
562,199,3492,50.71,65.57
570,205,3509,50.71,65.57
578,209,3527,50.71,65.57
586,218,3541,50.71,65.57
593,225,3558,51.86,63.11
600,232,3574,51.86,63.11
605,236,3590,51.86,63.11
611,245,3605,51.86,63.11
616,254,3622,51.86,63.11
621,264,3638,51.86,63.11
626,275,3655,51.86,63.11
630,286,3672,54.32,59.85
634,298,3688,54.32,59.85
638,310,3704,54.32,59.85
641,322,3722,54.32,59.85
645,338,3740,54.32,59.85
647,350,3757,54.32,59.85
650,362,3773,57.74,56.87
654,372,3788,57.74,56.87
656,382,3806,57.74,56.87
657,389,3819,57.74,56.87
658,403,3840,57.74,56.87
658,414,3855,57.74,56.87
658,425,3872,60.91,55.55
656,436,3888,60.91,55.55
654,448,3905,60.91,55.55
651,459,3922,60.91,55.55
649,471,3939,60.91,55.55
646,483,3955,60.91,55.55
642,494,3971,64.34,54.05
639,508,3988,64.34,54.05
635,521,4004,64.34,54.05
630,534,4022,64.34,54.05
623,546,4038,64.34,54.05
618,558,4055,64.34,54.05
611,570,4072,68.29,52.73
604,581,4088,68.29,52.73
596,592,4105,68.29,52.73
584,606,4123,68.29,52.73
574,616,4140,68.29,52.73
562,626,4154,68.29,52.73
551,635,4173,71.02,52.03
543,641,4187,71.02,52.03
526,650,4205,71.02,52.03
513,657,4221,71.02,52.03
503,662,4237,71.02,52.03
484,669,4255,71.02,52.03
469,674,4271,72.69,52.29
453,678,4288,72.69,52.29
438,682,4305,72.69,52.29
421,685,4322,72.69,52.29
406,687,4338,72.69,52.29
390,689,4354,72.69,52.29
380,689,4370,72.69,52.29
359,690,4388,73.12,53.35
343,688,4405,73.12,53.35
328,686,4423,73.12,53.35
312,683,4439,73.12,53.35
