x,y,timestamp,encoder_1_deg,encoder_2_deg
414,405,472,60.12,63.81
414,405,485,60.12,63.81
414,405,502,60.12,63.81
414,406,518,60.12,63.81
415,406,535,60.12,63.81
416,406,552,60.12,63.63
416,409,569,60.12,63.63
416,412,585,60.12,63.63
415,415,602,60.12,63.63
414,419,619,60.12,63.63
414,425,636,60.12,63.63
412,430,653,60.12,63.54
410,434,669,60.12,63.54
407,437,684,60.12,63.54
403,440,701,60.12,63.54
396,444,719,60.12,63.54
393,446,734,60.12,63.54
386,446,751,60.12,63.54
378,446,768,60.21,63.54
373,446,785,60.21,63.54
369,446,801,60.21,63.54
361,442,818,60.21,63.54
355,439,836,60.21,63.54
350,435,853,60.21,63.54
346,431,870,60.12,64.25
342,426,886,60.12,64.25
338,421,902,60.12,64.25
333,414,920,60.12,64.25
330,407,937,60.12,64.25
327,400,953,60.12,64.25
325,390,969,59.06,65.21
324,388,986,59.06,65.21
322,378,1002,59.06,65.21
323,374,1018,59.06,65.21
324,364,1035,59.06,65.21
326,355,1051,59.06,65.21
328,347,1067,57.13,65.21
331,341,1083,57.13,65.21
335,334,1100,57.13,65.21
341,326,1116,57.13,65.21
342,324,1131,57.13,65.21
346,321,1149,57.13,65.21
351,315,1164,55.20,65.57
361,306,1181,55.20,65.57
373,298,1197,55.20,65.57
381,294,1214,55.20,65.57
389,291,1231,55.20,65.57
397,290,1247,55.20,65.57
406,289,1263,53.96,65.13
414,288,1280,53.96,65.13
423,287,1297,53.96,65.13
432,288,1314,53.96,65.13
441,289,1332,53.96,65.13
448,290,1348,53.96,65.13
457,292,1364,53.96,65.13
466,295,1382,53.88,64.42
473,300,1398,53.88,64.42
480,305,1415,53.88,64.42
488,310,1432,53.88,64.42
492,314,1450,53.88,64.42
494,316,1466,53.88,64.25
500,321,1482,53.88,64.25
507,330,1499,53.88,64.25
514,343,1517,53.88,64.25
518,352,1533,53.88,64.25
521,361,1550,53.88,64.25
522,370,1566,53.88,64.25
524,378,1583,55.37,63.90
525,386,1599,55.37,63.90
526,395,1615,55.37,63.90
527,403,1632,55.37,63.90
527,413,1650,55.37,63.90
527,423,1665,55.37,63.90
526,433,1682,58.01,62.67
523,442,1698,58.01,62.67
520,453,1714,58.01,62.67
516,462,1732,58.01,62.67
511,471,1750,58.01,62.67
506,481,1766,58.01,62.67
500,490,1783,60.73,61.35
494,500,1800,60.73,61.35
482,512,1817,60.73,61.35
477,518,1832,60.73,61.35
467,526,1850,60.73,61.35
453,535,1868,60.73,61.35
442,541,1884,63.19,60.38
431,546,1901,63.19,60.38
423,550,1917,63.19,60.38
407,554,1934,63.19,60.38
395,556,1951,63.19,60.38
383,558,1967,63.19,60.38
371,558,1984,63.90,60.73
359,557,2001,63.90,60.73
348,555,2018,63.90,60.73
337,552,2034,63.90,60.73
325,549,2051,63.90,60.73
317,546,2066,63.90,60.73
300,542,2084,63.90,62.23
289,537,2101,63.90,62.23
278,531,2118,63.90,62.23
267,525,2134,63.90,62.23
261,520,2150,63.90,62.23
252,512,2166,63.90,62.23
241,501,2184,62.93,63.11
233,492,2201,62.93,63.11
229,486,2216,62.93,63.11
222,475,2233,62.93,63.11
217,464,2249,62.93,63.11
213,453,2265,62.93,63.11
209,441,2282,60.29,64.69
206,430,2299,60.29,64.69
204,417,2315,60.29,64.69
203,405,2332,60.29,64.69
203,392,2349,60.29,64.69
204,378,2366,60.29,64.69
206,366,2383,57.30,66.88
208,356,2398,57.30,66.88
210,343,2413,57.30,66.88
215,330,2431,57.30,66.88
220,318,2446,57.30,66.88
226,306,2464,57.30,66.88
232,294,2480,53.88,69.08
239,283,2497,53.88,69.08
246,271,2514,53.88,69.08
254,261,2531,53.88,69.08
262,251,2547,53.88,69.08
270,242,2564,53.88,69.08
279,233,2581,53.88,69.08
288,226,2598,50.71,70.31
297,218,2614,50.71,70.31
302,214,2629,50.71,70.31
311,206,2644,50.71,70.31
321,202,2660,50.71,70.31
330,198,2675,50.71,70.31
338,194,2692,48.78,70.22
349,192,2708,48.78,70.22
358,189,2726,48.78,70.22
368,187,2742,48.78,70.22
378,186,2758,48.78,70.22
388,187,2774,48.78,70.22
399,188,2790,48.25,69.61
410,189,2807,48.25,69.61
421,190,2824,48.25,69.61
433,192,2841,48.25,69.61
442,194,2857,48.25,69.61
455,198,2874,48.25,69.61
463,200,2888,48.25,68.12
473,203,2905,48.25,68.12
489,209,2924,48.25,68.12
496,213,2939,48.25,68.12
507,218,2955,48.25,68.12
518,224,2972,48.25,68.12
532,232,2989,48.60,65.39
539,235,3005,48.60,65.39
550,242,3022,48.60,65.39
564,253,3039,48.60,65.39
574,260,3056,48.60,65.39
584,268,3072,48.60,65.39
593,277,3089,49.83,62.67
602,286,3106,49.83,62.67
609,295,3122,49.83,62.67
615,306,3138,49.83,62.67
621,315,3155,49.83,62.67
626,326,3172,49.83,62.67
632,338,3188,49.83,62.67
636,349,3205,52.12,61.88
640,362,3221,52.12,61.88
642,370,3236,52.12,61.88
645,386,3253,52.12,61.88
647,398,3271,52.12,61.88
649,410,3288,52.12,61.88
650,423,3304,55.55,60.73
651,435,3320,55.55,60.73
651,448,3336,55.55,60.73
650,460,3353,55.55,60.73
646,473,3369,55.55,60.73
644,485,3385,55.55,60.73
641,496,3402,59.06,59.50
638,509,3421,59.06,59.50
633,521,3436,59.06,59.50
626,533,3452,59.06,59.50
619,546,3467,59.06,59.50
610,560,3484,59.06,59.50
601,574,3501,62.67,58.10
591,586,3517,62.67,58.10
582,598,3533,62.67,58.10
570,610,3550,62.67,58.10
559,621,3567,62.67,58.10
546,631,3584,62.67,58.10
533,641,3600,66.01,56.78
521,649,3617,66.01,56.78
506,656,3635,66.01,56.78
492,662,3651,66.01,56.78
478,667,3667,66.01,56.78
461,674,3683,66.01,56.78
444,678,3700,67.68,56.60
428,682,3716,67.68,56.60
412,683,3732,67.68,56.60
395,684,3748,67.68,56.60
378,684,3765,67.68,56.60
360,685,3782,67.68,56.60
343,684,3798,68.20,57.74
326,682,3815,68.20,57.74
315,681,3830,68.20,57.74
298,678,3847,68.20,57.74
282,674,3863,68.20,57.74
262,668,3882,68.20,57.74
248,663,3900,68.20,57.74
