x,y,timestamp,encoder_1_deg,encoder_2_deg
405,410,267,65.30,56.78
405,410,281,65.30,56.78
405,410,297,65.30,56.78
406,410,314,65.30,56.78
406,409,331,65.30,56.87
406,408,347,65.30,56.87
407,408,365,65.30,56.87
407,407,380,65.30,56.87
408,407,397,65.30,56.87
409,408,414,65.30,56.87
410,408,432,65.30,56.87
410,410,448,65.30,56.87
412,410,467,65.30,56.87
413,413,483,65.30,56.87
414,415,500,65.30,56.87
414,417,516,65.30,56.87
414,421,533,65.21,56.87
412,425,550,65.21,56.87
410,429,566,65.21,56.87
407,433,583,65.21,56.87
404,437,599,65.21,56.87
400,440,616,65.21,56.87
395,442,632,65.21,56.69
391,446,648,65.21,56.69
387,446,666,65.21,56.69
383,446,681,65.21,56.69
379,446,698,65.21,56.69
376,446,715,65.21,56.69
372,444,731,65.21,56.69
368,442,748,65.21,56.78
365,439,763,65.21,56.78
361,436,781,65.21,56.78
359,434,796,65.21,56.78
356,430,811,65.21,56.78
353,427,827,65.21,56.78
350,421,844,65.30,57.57
346,417,864,65.30,57.57
345,414,877,65.30,57.57
342,409,895,65.30,57.57
340,404,911,65.30,57.57
338,398,928,65.30,57.57
337,394,944,64.86,58.10
335,387,962,64.86,58.10
334,382,978,64.86,58.10
334,375,994,64.86,58.10
334,366,1010,64.86,58.10
336,357,1027,64.86,58.10
338,347,1043,63.37,58.01
341,341,1061,63.37,58.01
343,335,1076,63.37,58.01
347,328,1093,63.37,58.01
350,320,1109,63.37,58.01
355,314,1125,63.37,58.01
360,306,1142,61.35,58.97
365,299,1161,61.35,58.97
369,295,1176,61.35,58.97
372,292,1193,61.35,58.97
377,287,1209,61.35,58.97
386,279,1227,61.35,58.97
391,277,1242,59.77,59.50
402,271,1259,59.77,59.50
410,269,1276,59.77,59.50
413,268,1294,59.77,59.50
417,267,1309,59.77,59.50
423,267,1326,59.77,59.50
430,268,1343,59.41,59.33
436,269,1360,59.41,59.33
442,270,1376,59.41,59.33
450,273,1395,59.41,59.33
454,275,1409,59.41,59.33
462,279,1429,59.41,59.33
467,283,1444,59.33,59.15
471,288,1462,59.33,59.15
476,292,1478,59.33,59.15
481,297,1495,59.33,59.15
485,302,1512,59.33,59.15
490,306,1528,59.33,59.15
494,311,1545,59.50,58.01
496,317,1563,59.50,58.01
501,323,1579,59.50,58.01
505,334,1596,59.50,58.01
509,343,1611,59.50,58.01
512,350,1629,59.50,58.01
515,357,1646,61.00,57.30
519,364,1662,61.00,57.30
522,370,1679,61.00,57.30
525,378,1696,61.00,57.30
529,389,1713,61.00,57.30
530,394,1730,61.00,57.30
533,402,1746,61.00,57.30
534,408,1761,63.19,55.99
537,416,1778,63.19,55.99
538,423,1793,63.19,55.99
539,432,1810,63.19,55.99
539,441,1826,63.19,55.99
539,450,1844,63.19,55.99
538,458,1859,65.30,54.84
537,466,1876,65.30,54.84
535,473,1893,65.30,54.84
533,482,1910,65.30,54.84
530,489,1925,65.30,54.84
526,496,1943,65.30,54.84
522,504,1958,67.41,53.96
518,510,1975,67.41,53.96
513,516,1991,67.41,53.96
510,519,2009,67.41,53.96
506,524,2024,67.41,53.96
498,531,2042,67.41,53.96
487,540,2059,68.91,53.70
476,547,2076,68.91,53.70
467,554,2093,68.91,53.70
458,560,2108,68.91,53.70
448,566,2125,68.91,53.70
438,570,2141,68.91,53.70
428,575,2158,70.05,53.88
417,580,2174,70.05,53.88
406,584,2190,70.05,53.88
395,587,2208,70.05,53.88
384,590,2224,70.05,53.88
374,592,2240,70.05,53.88
363,592,2257,70.49,54.32
353,592,2274,70.49,54.32
342,592,2291,70.49,54.32
332,590,2307,70.49,54.32
323,588,2322,70.49,54.32
314,586,2339,70.49,54.32
305,583,2357,70.40,55.55
296,580,2374,70.40,55.55
288,576,2390,70.40,55.55
280,572,2407,70.40,55.55
273,567,2423,70.40,55.55
270,564,2441,70.40,55.55
266,561,2457,70.40,57.13
260,554,2472,70.40,57.13
249,540,2490,70.40,57.13
245,531,2507,70.40,57.13
240,522,2524,70.40,57.13
236,513,2540,70.40,57.13
233,506,2556,70.40,57.13
230,494,2570,68.64,58.10
226,483,2588,68.64,58.10
223,471,2604,68.64,58.10
221,460,2621,68.64,58.10
218,448,2639,68.64,58.10
216,438,2655,68.64,58.10
214,426,2669,65.48,60.29
213,414,2686,65.48,60.29
210,402,2702,65.48,60.29
210,394,2719,65.48,60.29
209,382,2734,65.48,60.29
209,370,2751,65.48,60.29
209,358,2767,62.14,63.02
209,347,2784,62.14,63.02
209,335,2799,62.14,63.02
210,324,2817,62.14,63.02
211,314,2833,62.14,63.02
214,304,2851,62.14,63.02
215,294,2868,58.97,65.39
218,285,2884,58.97,65.39
220,275,2901,58.97,65.39
224,266,2919,58.97,65.39
228,258,2934,58.97,65.39
233,250,2951,58.97,65.39
238,242,2969,56.51,67.32
243,233,2984,56.51,67.32
250,228,3001,56.51,67.32
257,221,3019,56.51,67.32
265,215,3036,56.51,67.32
272,209,3052,56.51,67.32
280,206,3069,54.76,68.03
289,202,3085,54.76,68.03
298,198,3101,54.76,68.03
307,194,3119,54.76,68.03
318,191,3135,54.76,68.03
327,187,3151,54.76,68.03
338,185,3168,54.05,67.94
344,183,3183,54.05,67.94
358,180,3201,54.05,67.94
368,178,3219,54.05,67.94
375,178,3233,54.05,67.94
388,176,3251,54.05,67.94
398,175,3268,53.79,67.50
408,174,3285,53.79,67.50
417,174,3302,53.79,67.50
426,174,3319,53.79,67.50
436,174,3336,53.79,67.50
444,174,3352,53.79,67.50
454,174,3369,53.79,67.50
464,174,3386,53.70,66.27
473,174,3402,53.70,66.27
482,175,3419,53.70,66.27
491,176,3435,53.70,66.27
500,176,3452,53.70,66.27
509,178,3469,53.70,66.27
518,178,3486,53.70,65.13
