x,y,timestamp,encoder_1_deg,encoder_2_deg
411,401,238,63.54,60.73
411,401,251,63.54,60.73
411,401,269,63.54,60.73
411,401,286,63.54,60.73
411,401,302,63.54,60.73
411,402,320,63.54,60.73
412,402,336,63.54,60.73
413,404,353,63.54,60.73
413,406,370,63.54,60.73
414,407,386,63.54,60.73
414,410,404,63.54,60.73
414,413,421,63.46,60.64
414,416,438,63.46,60.64
414,419,454,63.46,60.64
413,425,469,63.46,60.64
411,429,486,63.46,60.64
408,433,502,63.46,60.64
405,437,519,63.46,60.38
401,440,537,63.46,60.38
396,442,552,63.46,60.38
391,446,568,63.46,60.38
386,448,585,63.46,60.38
382,448,601,63.46,60.38
377,448,619,63.46,60.38
372,448,637,63.54,60.47
367,446,653,63.54,60.47
362,444,669,63.54,60.47
358,442,686,63.54,60.47
353,441,702,63.54,60.47
348,438,719,63.54,60.47
344,436,736,63.54,61.35
340,434,753,63.54,61.35
336,430,769,63.54,61.35
333,427,788,63.54,61.35
330,423,804,63.54,61.35
328,419,820,63.54,61.35
326,415,837,63.46,61.79
324,410,853,63.46,61.79
323,406,870,63.46,61.79
322,401,886,63.46,61.79
322,396,904,63.46,61.79
322,392,919,63.46,61.79
322,386,934,62.31,61.44
322,381,949,62.31,61.44
323,375,966,62.31,61.44
325,370,983,62.31,61.44
326,364,1000,62.31,61.44
327,358,1017,62.31,61.44
329,353,1035,60.82,61.79
330,347,1051,60.82,61.79
333,342,1067,60.82,61.79
334,338,1083,60.82,61.79
338,332,1098,60.82,61.79
340,327,1116,60.82,61.79
343,322,1134,59.50,62.40
346,318,1151,59.50,62.40
350,314,1167,59.50,62.40
354,310,1189,59.50,62.40
357,307,1198,59.50,62.40
362,304,1215,59.50,62.40
366,302,1233,58.36,62.23
371,298,1252,58.36,62.23
377,297,1269,58.36,62.23
382,294,1285,58.36,62.23
388,294,1300,58.36,62.23
394,292,1317,58.36,62.23
401,292,1334,58.18,62.14
407,291,1350,58.18,62.14
413,292,1366,58.18,62.14
419,293,1382,58.18,62.14
425,294,1399,58.18,62.14
430,295,1416,58.18,62.14
437,297,1432,58.18,62.14
442,298,1448,58.18,61.88
448,300,1465,58.18,61.88
455,302,1481,58.18,61.88
461,305,1499,58.18,61.88
466,307,1516,58.18,61.88
471,310,1533,58.18,61.88
478,314,1549,58.10,61.44
482,317,1564,58.10,61.44
488,321,1584,58.10,61.44
492,324,1599,58.10,61.44
498,328,1616,58.10,61.44
502,332,1632,58.10,61.44
507,337,1648,58.36,60.73
512,342,1665,58.36,60.73
516,346,1682,58.36,60.73
520,352,1698,58.36,60.73
523,358,1715,58.36,60.73
526,363,1731,58.36,60.73
530,369,1748,59.50,59.77
533,376,1765,59.50,59.77
536,382,1781,59.50,59.77
538,387,1799,59.50,59.77
540,394,1815,59.50,59.77
542,401,1831,59.50,59.77
542,406,1849,61.35,58.27
544,413,1865,61.35,58.27
545,417,1880,61.35,58.27
545,423,1897,61.35,58.27
544,432,1915,61.35,58.27
542,442,1931,61.35,58.27
538,453,1947,63.02,56.95
535,461,1963,63.02,56.95
531,469,1979,63.02,56.95
527,478,1995,63.02,56.95
522,487,2011,63.02,56.95
515,496,2027,63.02,56.95
511,504,2043,65.21,55.99
504,513,2059,65.21,55.99
496,522,2075,65.21,55.99
490,530,2091,65.21,55.99
481,539,2108,65.21,55.99
471,547,2125,65.21,55.99
463,555,2141,65.21,55.99
450,565,2159,67.59,55.46
441,570,2176,67.59,55.46
