x,y,timestamp,encoder_1_deg,encoder_2_deg
408,398,185,54.23,63.98
408,398,198,54.23,63.98
408,398,215,54.23,63.98
408,398,232,54.05,63.72
409,397,248,54.05,63.72
409,397,265,54.05,63.72
410,397,282,54.05,63.72
410,398,298,54.05,63.72
411,398,315,54.05,63.72
412,401,331,54.14,63.37
414,405,349,54.14,63.37
414,407,366,54.14,63.37
414,411,382,54.14,63.37
414,414,398,54.14,63.37
414,417,415,54.14,63.37
413,421,431,54.14,63.28
410,426,447,54.14,63.28
406,429,464,54.14,63.28
402,433,480,54.14,63.28
398,437,497,54.14,63.28
392,439,513,54.14,63.28
387,442,530,54.23,63.54
382,442,547,54.23,63.54
378,442,564,54.23,63.54
373,442,580,54.23,63.54
369,441,597,54.23,63.54
364,439,613,54.23,63.54
360,437,630,54.23,63.63
356,434,647,54.23,63.63
352,430,664,54.23,63.63
348,426,681,54.23,63.63
345,421,697,54.23,63.63
341,417,713,54.23,63.63
337,414,730,54.14,63.90
334,408,746,54.14,63.90
331,402,763,54.14,63.90
330,396,779,54.14,63.90
327,386,797,54.14,63.90
327,378,813,54.14,63.90
328,370,830,54.14,63.90
329,362,847,53.00,64.60
331,354,864,53.00,64.60
334,346,881,53.00,64.60
338,339,897,53.00,64.60
342,332,914,53.00,64.60
346,325,931,53.00,64.60
348,322,947,50.89,66.01
350,320,963,50.89,66.01
354,313,981,50.89,66.01
360,307,998,50.89,66.01
363,303,1013,50.89,66.01
369,298,1029,50.89,66.01
374,294,1046,49.31,66.71
381,289,1062,49.31,66.71
386,286,1079,49.31,66.71
394,282,1096,49.31,66.71
404,280,1113,49.31,66.71
416,279,1131,49.31,66.71
423,278,1148,48.43,66.62
428,279,1163,48.43,66.62
435,280,1179,48.43,66.62
441,281,1195,48.43,66.62
450,282,1211,48.43,66.62
458,285,1227,48.43,66.62
466,287,1244,48.43,65.65
473,290,1261,48.43,65.65
482,293,1277,48.43,65.65
490,296,1294,48.43,65.65
496,301,1312,48.43,65.65
500,303,1327,48.43,65.65
503,306,1343,48.34,64.25
510,311,1360,48.34,64.25
516,317,1377,48.34,64.25
522,323,1394,48.34,64.25
527,332,1409,48.34,64.25
534,342,1426,48.34,64.25
538,350,1443,48.96,62.93
541,358,1460,48.96,62.93
543,366,1476,48.96,62.93
545,374,1492,48.96,62.93
547,382,1510,48.96,62.93
548,390,1525,48.96,62.93
548,397,1541,48.96,62.93
546,405,1558,50.80,62.67
545,413,1576,50.80,62.67
543,421,1591,50.80,62.67
540,430,1607,50.80,62.67
537,439,1625,50.80,62.67
533,448,1641,53.17,62.40
529,458,1658,53.17,62.40
525,466,1675,53.17,62.40
522,475,1692,53.17,62.40
518,484,1708,53.17,62.40
513,492,1725,53.17,62.40
506,503,1743,53.17,62.40
498,511,1761,55.90,61.52
494,519,1778,55.90,61.52
486,528,1793,55.90,61.52
479,536,1811,55.90,61.52
471,543,1828,55.90,61.52
465,550,1843,55.90,61.52
456,555,1861,58.27,60.82
448,560,1876,58.27,60.82
440,563,1894,58.27,60.82
432,566,1910,58.27,60.82
423,568,1927,58.27,60.82
414,570,1943,58.27,60.82
406,570,1960,59.50,60.73
398,569,1976,59.50,60.73
389,567,1994,59.50,60.73
381,566,2009,59.50,60.73
373,563,2028,59.50,60.73
364,561,2043,59.50,60.73
356,558,2061,59.50,61.35
349,555,2076,59.50,61.35
340,552,2095,59.50,61.35
333,549,2111,59.50,61.35
325,546,2128,59.50,61.35
320,542,2141,59.50,61.35
313,539,2158,59.59,61.52
306,535,2175,59.59,61.52
302,533,2192,59.59,61.52
297,530,2211,59.59,61.52
292,526,2225,59.59,61.52
284,519,2244,59.59,61.52
278,514,2261,58.97,61.79
272,508,2279,58.97,61.79
266,502,2295,58.97,61.79
258,494,2310,58.97,61.79
250,487,2332,58.97,61.79
244,481,2346,58.97,61.79
235,469,2362,57.13,63.81
229,462,2381,57.13,63.81
224,456,2397,57.13,63.81
218,448,2415,57.13,63.81
214,440,2430,57.13,63.81
209,433,2446,57.13,63.81
206,426,2462,55.28,66.36
202,417,2480,55.28,66.36
200,409,2495,55.28,66.36
198,401,2513,55.28,66.36
196,392,2531,55.28,66.36
195,383,2547,55.28,66.36
195,374,2564,53.35,68.55
195,365,2580,53.35,68.55
196,355,2597,53.35,68.55
198,346,2614,53.35,68.55
199,338,2631,53.35,68.55
202,328,2647,53.35,68.55
205,319,2666,50.89,70.49
208,311,2680,50.89,70.49
210,302,2697,50.89,70.49
214,297,2713,50.89,70.49
217,290,2730,50.89,70.49
221,282,2746,50.89,70.49
227,273,2764,48.69,71.89
231,267,2781,48.69,71.89
233,265,2797,48.69,71.89
235,262,2813,48.69,71.89
241,256,2830,48.69,71.89
246,251,2846,48.69,71.89
251,246,2863,46.93,72.42
258,240,2880,46.93,72.42
263,234,2897,46.93,72.42
270,230,2913,46.93,72.42
278,225,2929,46.93,72.42
288,218,2945,46.93,72.42
295,214,2963,46.93,72.42
298,210,2979,45.62,72.77
309,206,2996,45.62,72.77
318,202,3012,45.62,72.77
325,198,3029,45.62,72.77
331,195,3045,45.62,72.77
338,192,3062,45.62,72.77
346,190,3078,44.74,72.60
354,187,3096,44.74,72.60
360,185,3112,44.74,72.60
368,183,3129,44.74,72.60
374,182,3143,44.74,72.60
382,181,3159,44.74,72.60
390,180,3176,44.38,72.25
398,178,3192,44.38,72.25
408,177,3209,44.38,72.25
417,175,3225,44.38,72.25
426,174,3242,44.38,72.25
434,174,3258,44.38,72.25
