x,y,timestamp,encoder_1_deg,encoder_2_deg
412,401,430,58.18,63.28
413,402,444,58.27,63.37
413,402,461,58.27,63.37
414,404,478,58.27,63.37
417,406,494,58.27,63.37
417,407,510,58.27,63.37
419,410,527,58.27,63.37
419,414,546,58.27,63.19
417,417,562,58.27,63.19
417,421,579,58.27,63.19
414,428,596,58.27,63.19
411,434,613,58.27,63.19
407,439,630,58.27,63.19
403,444,646,58.18,62.75
399,450,662,58.18,62.75
394,454,679,58.18,62.75
390,456,695,58.18,62.75
385,458,712,58.18,62.75
379,458,729,58.18,62.75
374,457,746,58.45,62.67
369,456,763,58.45,62.67
363,454,779,58.45,62.67
358,451,796,58.45,62.67
354,448,812,58.45,62.67
349,444,829,58.45,62.67
344,440,845,58.45,63.37
341,436,862,58.45,63.37
337,432,879,58.45,63.37
334,427,895,58.45,63.37
331,423,911,58.45,63.37
328,417,929,58.45,63.37
326,411,946,58.27,64.51
326,407,961,58.27,64.51
325,399,976,58.27,64.51
325,389,994,58.27,64.51
326,379,1011,58.27,64.51
327,373,1027,58.27,64.51
329,366,1043,56.69,65.39
330,358,1061,56.69,65.39
332,353,1078,56.69,65.39
334,347,1095,56.69,65.39
335,344,1111,56.69,65.39
338,339,1128,56.69,65.39
341,333,1144,55.02,65.57
345,327,1161,55.02,65.57
349,322,1176,55.02,65.57
353,318,1193,55.02,65.57
357,313,1210,55.02,65.57
362,309,1227,55.02,65.57
367,305,1243,55.02,65.57
373,302,1260,53.70,65.83
379,298,1277,53.70,65.83
389,294,1292,53.70,65.83
396,293,1308,53.70,65.83
405,291,1324,53.70,65.83
415,290,1343,53.70,65.83
423,290,1360,53.17,66.01
428,290,1375,53.17,66.01
436,290,1392,53.17,66.01
442,292,1409,53.17,66.01
451,294,1425,53.17,66.01
460,296,1441,53.17,66.01
467,299,1458,53.17,66.01
473,303,1475,53.17,66.01
482,307,1492,53.17,66.01
490,312,1510,53.17,66.01
494,314,1526,53.17,66.01
494,316,1542,53.17,66.01
501,320,1558,53.09,65.13
