x,y,timestamp,encoder_1_deg,encoder_2_deg
410,398,351,57.83,64.25
410,398,364,57.83,64.25
410,399,381,57.83,64.25
410,399,397,57.83,64.25
410,399,413,57.83,64.25
411,400,431,57.83,64.25
412,402,448,57.83,64.25
413,403,465,57.74,64.34
414,406,483,57.74,64.34
414,409,499,57.74,64.34
414,413,516,57.74,64.34
412,417,532,57.74,64.34
410,421,549,57.74,64.34
407,425,565,57.74,64.34
403,429,582,57.83,64.07
398,431,598,57.83,64.07
392,434,615,57.83,64.07
385,438,632,57.83,64.07
374,441,648,57.83,64.07
370,442,665,57.83,64.07
366,442,680,58.01,64.07
361,442,698,58.01,64.07
355,440,714,58.01,64.07
350,438,731,58.01,64.07
347,436,746,58.01,64.07
342,433,763,58.01,64.07
338,429,780,57.92,64.95
334,425,796,57.92,64.95
330,419,811,57.92,64.95
326,416,827,57.92,64.95
323,410,842,57.92,64.95
321,405,859,57.92,64.95
318,397,876,57.66,65.83
318,390,891,57.66,65.83
318,378,909,57.66,65.83
319,373,924,57.66,65.83
321,366,940,57.66,65.83
324,358,957,57.66,65.83
327,350,973,56.16,66.01
330,344,989,56.16,66.01
333,341,1006,56.16,66.01
336,337,1022,56.16,66.01
341,330,1038,56.16,66.01
347,324,1056,56.16,66.01
357,314,1071,56.16,66.01
367,306,1088,54.32,65.83
374,302,1106,54.32,65.83
382,299,1122,54.32,65.83
390,296,1138,54.32,65.83
400,294,1154,54.32,65.83
409,292,1171,54.32,65.83
415,291,1186,53.44,65.65
423,291,1202,53.44,65.65
431,291,1219,53.44,65.65
438,293,1235,53.44,65.65
446,295,1251,53.44,65.65
454,298,1267,53.44,65.65
462,301,1284,53.35,65.92
467,303,1302,53.35,65.92
473,307,1319,53.35,65.92
476,310,1335,53.35,65.92
482,314,1351,53.35,65.92
488,319,1367,53.35,65.92
494,324,1384,53.61,65.57
498,330,1400,53.61,65.57
507,340,1417,53.61,65.57
514,350,1433,53.61,65.57
518,358,1451,53.61,65.57
522,367,1467,53.61,65.57
524,375,1484,55.46,64.16
526,385,1500,55.46,64.16
526,394,1517,55.46,64.16
526,403,1533,55.46,64.16
526,413,1550,55.46,64.16
526,421,1566,55.46,64.16
526,432,1583,58.36,62.23
525,441,1599,58.36,62.23
522,450,1616,58.36,62.23
518,463,1635,58.36,62.23
515,469,1649,58.36,62.23
509,481,1666,58.36,62.23
502,490,1682,58.36,62.23
494,504,1701,61.08,60.91
487,513,1717,61.08,60.91
479,521,1733,61.08,60.91
469,530,1750,61.08,60.91
461,538,1768,61.08,60.91
450,546,1784,63.28,60.21
439,553,1800,63.28,60.21
429,558,1816,63.28,60.21
417,561,1834,63.28,60.21
407,563,1849,63.28,60.21
395,566,1866,63.28,60.21
383,566,1883,63.28,60.21
372,567,1900,64.25,60.38
361,566,1917,64.25,60.38
350,563,1934,64.25,60.38
338,560,1950,64.25,60.38
330,558,1965,64.25,60.38
315,553,1982,64.25,60.38
304,549,2000,64.25,61.70
297,546,2015,64.25,61.70
286,541,2031,64.25,61.70
277,534,2047,64.25,61.70
267,529,2063,64.25,61.70
258,522,2080,64.25,61.70
250,515,2097,63.72,63.37
242,508,2114,63.72,63.37
236,498,2130,63.72,63.37
230,490,2145,63.72,63.37
225,482,2163,63.72,63.37
221,471,2180,63.72,63.37
217,462,2197,61.52,63.54
214,455,2212,61.52,63.54
211,440,2230,61.52,63.54
209,433,2245,61.52,63.54
209,421,2261,61.52,63.54
209,409,2279,61.52,63.54
209,397,2296,58.62,65.65
209,384,2313,58.62,65.65
211,372,2329,58.62,65.65
214,360,2346,58.62,65.65
215,347,2362,58.62,65.65
218,335,2379,58.62,65.65
222,322,2396,55.37,67.94
225,311,2414,55.37,67.94
228,300,2430,55.37,67.94
231,290,2446,55.37,67.94
234,279,2462,55.37,67.94
239,269,2479,55.37,67.94
244,260,2496,55.37,67.94
249,251,2514,52.47,69.61
254,242,2530,52.47,69.61
260,233,2546,52.47,69.61
262,231,2563,52.47,69.61
266,228,2581,52.47,69.61
271,222,2596,52.47,69.61
279,214,2613,50.19,70.58
286,209,2625,50.19,70.58
298,203,2642,50.19,70.58
306,198,2658,50.19,70.58
315,194,2675,50.19,70.58
326,191,2692,50.19,70.58
335,188,2708,48.96,70.66
346,185,2724,48.96,70.66
358,182,2742,48.96,70.66
370,179,2758,48.96,70.66
382,177,2774,48.96,70.66
394,175,2791,48.96,70.66
407,174,2807,48.34,70.84
419,172,2823,48.34,70.84
433,171,2841,48.34,70.84
444,171,2857,48.34,70.84
458,171,2874,48.34,70.84
469,171,2890,48.34,70.84
482,173,2906,47.99,70.31
494,174,2923,47.99,70.31
508,177,2941,47.99,70.31
520,181,2956,47.99,70.31
528,184,2972,47.99,70.31
544,191,2990,47.99,70.31
551,195,3004,48.08,68.03
565,204,3022,48.08,68.03
572,208,3038,48.08,68.03
582,218,3055,48.08,68.03
590,226,3070,48.08,68.03
598,234,3086,48.08,68.03
606,246,3103,48.08,68.03
614,259,3120,48.96,66.53
617,266,3136,48.96,66.53
623,282,3154,48.96,66.53
627,294,3171,48.96,66.53
631,306,3188,48.96,66.53
635,317,3205,48.96,66.53
638,328,3220,51.94,63.19
640,336,3234,51.94,63.19
642,349,3251,51.94,63.19
642,362,3267,51.94,63.19
643,374,3284,51.94,63.19
644,386,3302,51.94,63.19
644,402,3320,55.63,61.88
644,414,3335,55.63,61.88
643,427,3351,55.63,61.88
642,440,3368,55.63,61.88
640,452,3385,55.63,61.88
639,464,3402,55.63,61.88
638,477,3417,59.24,60.21
637,485,3433,59.24,60.21
634,501,3450,59.24,60.21
630,514,3467,59.24,60.21
625,526,3483,59.24,60.21
619,538,3500,59.24,60.21
614,550,3516,62.93,58.62
608,562,3533,62.93,58.62
602,572,3551,62.93,58.62
594,583,3567,62.93,58.62
586,594,3583,62.93,58.62
576,605,3599,62.93,58.62
566,615,3615,65.92,57.92
555,625,3632,65.92,57.92
545,633,3650,65.92,57.92
532,641,3666,65.92,57.92
520,649,3682,65.92,57.92
506,655,3699,65.92,57.92
492,661,3715,68.03,57.83
477,666,3732,68.03,57.83
462,670,3748,68.03,57.83
446,674,3764,68.03,57.83
430,677,3781,68.03,57.83
412,680,3799,68.03,57.83
394,682,3816,68.91,58.27
376,684,3833,68.91,58.27
358,685,3849,68.91,58.27
341,685,3866,68.91,58.27
322,684,3882,68.91,58.27
304,683,3899,68.91,58.27
286,682,3915,68.91,58.27
269,678,3933,68.82,59.94
251,675,3949,68.82,59.94
233,672,3966,68.82,59.94
217,667,3983,68.82,59.94
201,662,4000,68.82,59.94
186,656,4017,68.82,59.94
172,649,4034,68.73,60.73
158,641,4050,68.73,60.73
146,631,4067,68.73,60.73
136,621,4083,68.73,60.73
126,608,4100,68.73,60.73
117,595,4116,68.73,60.73
110,580,4133,66.62,62.49
103,565,4150,66.62,62.49
98,548,4166,66.62,62.49
93,530,4183,66.62,62.49
89,513,4200,66.62,62.49
87,500,4216,66.62,62.49
85,482,4232,62.49,67.24
82,464,4249,62.49,67.24
81,446,4266,62.49,67.24
80,428,4282,62.49,67.24
80,410,4298,62.49,67.24
80,393,4315,62.49,67.24
82,374,4332,57.83,71.63
82,363,4347,57.83,71.63
84,346,4364,57.83,71.63
86,329,4381,57.83,71.63
90,312,4396,57.83,71.63
93,296,4412,57.83,71.63
97,281,4429,53.53,75.32
101,264,4446,53.53,75.32
105,248,4462,53.53,75.32
112,232,4480,53.53,75.32
117,218,4497,53.53,75.32
124,203,4515,53.53,75.32
130,189,4530,49.31,79.19
138,174,4547,49.31,79.19
147,161,4564,49.31,79.19
156,147,4582,49.31,79.19
165,135,4598,49.31,79.19
175,124,4615,49.31,79.19
185,114,4632,45.44,80.60
194,105,4648,45.44,80.60
205,97,4665,45.44,80.60
215,90,4682,45.44,80.60
226,84,4700,45.44,80.60
238,77,4715,45.44,80.60
250,71,4733,42.89,81.12
262,67,4749,42.89,81.12
274,63,4766,42.89,81.12
289,60,4782,42.89,81.12
302,57,4800,42.89,81.12
318,54,4817,42.89,81.12
333,52,4834,42.89,81.12
343,51,4846,41.66,80.60
359,50,4865,41.66,80.60
376,50,4880,41.66,80.60
393,49,4897,41.66,80.60
410,49,4913,41.66,80.60
427,50,4929,41.66,80.60
444,50,4945,41.40,79.80
462,52,4961,41.40,79.80
480,55,4977,41.40,79.80
498,58,4994,41.40,79.80
517,60,5011,41.40,79.80
534,64,5028,41.40,79.80
551,68,5045,41.40,77.61
568,74,5061,41.40,77.61
585,79,5077,41.40,77.61
600,86,5094,41.40,77.61
614,92,5111,41.40,77.61
628,99,5128,41.40,77.61
641,108,5145,41.48,75.06
653,116,5161,41.48,75.06
665,125,5177,41.48,75.06
676,134,5194,41.48,75.06
687,145,5211,41.48,75.06
698,155,5227,41.48,75.06
706,168,5243,43.33,69.61
716,179,5261,43.33,69.61
728,196,5279,43.33,69.61
736,208,5297,43.33,69.61
742,216,5311,43.33,69.61
752,233,5329,43.33,69.61
756,243,5343,47.11,67.06
763,262,5361,47.11,67.06
770,277,5378,47.11,67.06
775,291,5394,47.11,67.06
780,306,5410,47.11,67.06
782,315,5425,47.11,67.06
785,331,5441,51.68,60.21
786,347,5458,51.68,60.21
787,365,5474,51.68,60.21
786,386,5494,51.68,60.21
786,398,5507,51.68,60.21
785,414,5523,51.68,60.21
782,438,5541,51.68,60.21
779,448,5557,56.78,56.69
775,469,5574,56.78,56.69
771,487,5590,56.78,56.69
766,503,5607,56.78,56.69
762,518,5623,56.78,56.69
758,532,5642,61.88,54.76
752,546,5657,61.88,54.76
746,559,5674,61.88,54.76
740,573,5690,61.88,54.76
733,586,5706,61.88,54.76
724,601,5723,61.88,54.76
714,615,5739,61.88,54.76
702,630,5755,65.83,53.00
690,646,5772,65.83,53.00
677,661,5789,65.83,53.00
664,675,5805,65.83,53.00
649,690,5822,65.83,53.00
634,705,5839,65.83,53.00
618,719,5856,69.61,51.77
603,731,5872,69.61,51.77
588,740,5890,69.61,51.77
573,744,5905,69.61,51.77
