x,y,timestamp,encoder_1_deg,encoder_2_deg
406,396,85,54.93,66.88
406,396,97,54.93,66.88
406,395,114,54.93,66.88
406,395,130,54.93,67.06
407,396,147,54.93,67.06
407,396,163,54.93,67.06
407,397,179,54.93,67.06
408,397,196,54.93,67.06
409,398,212,54.93,67.06
409,398,229,54.93,67.06
410,399,245,54.93,67.06
411,401,263,54.93,67.06
411,401,277,54.93,67.06
413,402,295,54.93,67.06
414,403,310,54.93,67.06
414,406,326,54.93,66.97
415,407,343,54.93,66.97
416,410,360,54.93,66.97
416,413,376,54.93,66.97
416,415,392,54.93,66.97
416,417,408,54.93,66.97
414,421,425,54.93,66.97
413,425,441,54.84,66.62
410,428,458,54.84,66.62
406,432,473,54.84,66.62
402,435,490,54.84,66.62
397,438,507,54.84,66.62
392,441,524,54.84,66.62
387,442,541,55.46,66.53
382,444,557,55.46,66.53
378,444,574,55.46,66.53
373,446,590,55.46,66.53
369,444,606,55.46,66.53
364,442,623,55.46,66.53
360,442,640,55.55,66.97
356,440,655,55.55,66.97
352,438,673,55.55,66.97
348,435,688,55.55,66.97
345,432,706,55.55,66.97
342,428,724,55.55,66.97
338,423,739,55.55,68.12
336,419,756,55.55,68.12
334,415,773,55.55,68.12
332,410,791,55.55,68.12
331,406,805,55.55,68.12
330,400,821,55.55,68.12
330,394,838,55.11,69.79
330,388,854,55.11,69.79
329,383,872,55.11,69.79
328,378,888,55.11,69.79
327,373,904,55.11,69.79
326,369,921,55.11,69.79
326,364,939,53.53,71.19
326,360,955,53.53,71.19
326,354,973,53.53,71.19
326,350,991,53.53,71.19
326,346,1005,53.53,71.19
327,342,1021,53.53,71.19
329,338,1037,52.38,72.16
331,334,1054,52.38,72.16
333,330,1072,52.38,72.16
336,325,1088,52.38,72.16
340,320,1105,52.38,72.16
344,316,1121,52.38,72.16
348,313,1138,50.98,72.95
354,309,1156,50.98,72.95
358,306,1171,50.98,72.95
364,302,1187,50.98,72.95
370,300,1204,50.98,72.95
376,298,1221,50.98,72.95
382,296,1237,50.98,72.95
392,294,1254,50.10,73.12
403,294,1271,50.10,73.12
409,293,1287,50.10,73.12
414,292,1304,50.10,73.12
421,292,1321,50.10,73.12
426,293,1337,50.10,73.12
430,293,1354,50.10,72.51
437,294,1370,50.10,72.51
444,295,1387,50.10,72.51
456,298,1404,50.10,72.51
465,299,1421,50.10,72.51
469,300,1438,50.10,72.51
478,302,1455,50.01,71.37
485,305,1472,50.01,71.37
490,306,1488,50.01,71.37
492,308,1504,50.01,71.37
498,310,1521,50.01,71.37
502,314,1538,50.01,71.37
508,318,1554,50.19,70.05
513,322,1571,50.19,70.05
