x,y,timestamp,encoder_1_deg,encoder_2_deg
410,396,262,61.96,62.31
410,396,274,61.96,62.31
410,397,291,61.96,62.31
410,397,308,62.05,62.14
410,397,325,62.05,62.14
410,398,342,62.05,62.14
410,398,357,62.05,62.14
411,400,374,62.05,62.14
412,402,392,62.05,62.14
413,405,407,61.96,61.88
414,408,424,61.96,61.88
414,412,440,61.96,61.88
415,415,456,61.96,61.88
415,419,473,61.96,61.88
414,423,489,61.96,61.88
413,426,506,61.96,61.88
411,430,523,62.05,61.70
409,433,540,62.05,61.70
405,436,555,62.05,61.70
401,439,571,62.05,61.70
396,442,588,62.05,61.70
391,444,604,62.05,61.70
386,446,622,62.14,61.70
382,446,638,62.14,61.70
378,446,655,62.14,61.70
374,446,672,62.14,61.70
369,446,690,62.14,61.70
364,444,707,62.14,61.70
359,442,722,62.14,61.70
355,441,739,62.14,61.70
350,438,757,62.14,61.70
346,437,772,62.14,61.70
342,434,790,62.14,61.70
338,432,807,62.14,61.70
334,429,824,62.14,61.26
332,425,841,62.14,61.26
330,421,857,62.14,61.26
327,417,872,62.14,61.26
326,412,889,62.14,61.26
325,407,906,62.14,61.26
324,402,924,61.61,61.26
323,396,940,61.61,61.26
323,390,957,61.61,61.26
322,385,972,61.61,61.26
322,379,989,61.61,61.26
322,374,1006,61.61,61.26
322,368,1022,60.29,62.14
323,362,1038,60.29,62.14
323,359,1054,60.29,62.14
325,352,1072,60.29,62.14
326,349,1086,60.29,62.14
327,343,1103,60.29,62.14
330,338,1119,59.06,63.02
333,334,1136,59.06,63.02
336,328,1152,59.06,63.02
341,323,1170,59.06,63.02
346,318,1187,59.06,63.02
352,313,1204,59.06,63.02
358,309,1221,57.83,63.81
366,303,1237,57.83,63.81
376,298,1254,57.83,63.81
384,295,1271,57.83,63.81
393,294,1288,57.83,63.81
402,294,1308,57.83,63.81
406,294,1322,57.83,63.81
412,294,1340,57.04,63.46
421,294,1357,57.04,63.46
428,295,1374,57.04,63.46
430,295,1388,57.04,63.46
433,296,1405,57.04,63.46
439,298,1421,57.04,62.58
448,301,1438,57.04,62.58
462,304,1455,57.04,62.58
464,305,1472,57.04,62.58
467,307,1490,57.04,62.58
473,310,1506,57.04,62.58
482,314,1523,57.04,62.58
487,316,1540,57.04,61.70
491,319,1554,57.04,61.70
496,323,1571,57.04,61.70
504,330,1589,57.04,61.70
508,334,1604,57.04,61.70
515,342,1622,57.04,61.70
518,345,1637,57.48,60.56
523,354,1656,57.48,60.56
527,364,1673,57.48,60.56
530,371,1688,57.48,60.56
532,381,1706,57.48,60.56
534,389,1723,57.48,60.56
535,398,1739,58.45,59.50
536,406,1756,58.45,59.50
536,414,1771,58.45,59.50
537,421,1788,58.45,59.50
536,431,1805,58.45,59.50
534,440,1821,58.45,59.50
533,448,1838,60.64,58.89
529,458,1854,60.64,58.89
525,467,1870,60.64,58.89
521,478,1888,60.64,58.89
514,487,1904,60.64,58.89
509,496,1919,60.64,58.89
502,504,1937,62.93,58.62
496,512,1953,62.93,58.62
490,520,1971,62.93,58.62
482,528,1987,62.93,58.62
473,535,2003,62.93,58.62
464,542,2020,62.93,58.62
454,547,2035,65.48,58.18
444,553,2053,65.48,58.18
434,557,2070,65.48,58.18
423,560,2087,65.48,58.18
414,562,2101,65.48,58.18
405,564,2120,65.48,58.18
394,565,2135,65.48,58.18
