x,y,timestamp,encoder_1_deg,encoder_2_deg
416,399,433,63.98,59.33
416,399,447,63.98,59.33
416,399,463,63.98,59.33
416,400,480,63.98,59.33
416,400,497,63.90,59.33
416,401,514,63.90,59.33
416,402,531,63.90,59.33
416,403,548,63.90,59.33
415,406,564,63.90,59.33
415,410,581,63.90,59.33
414,413,599,63.90,59.33
414,416,616,63.81,59.33
414,419,632,63.81,59.33
412,423,648,63.81,59.33
410,427,665,63.81,59.33
407,430,683,63.81,59.33
403,434,699,63.81,59.33
398,437,716,63.90,59.59
394,440,731,63.90,59.59
389,442,749,63.90,59.59
384,442,765,63.90,59.59
380,442,781,63.90,59.59
375,442,798,63.90,59.59
371,442,815,63.81,59.85
366,439,830,63.81,59.85
364,438,846,63.81,59.85
358,434,864,63.81,59.85
356,433,879,63.81,59.85
352,430,896,63.81,59.85
349,427,913,63.98,59.94
345,423,929,63.98,59.94
341,421,945,63.98,59.94
338,417,960,63.98,59.94
336,414,977,63.98,59.94
334,410,992,63.98,59.94
332,406,1009,62.93,60.38
331,402,1027,62.93,60.38
330,397,1044,62.93,60.38
330,391,1060,62.93,60.38
330,387,1076,62.93,60.38
330,382,1091,62.93,60.38
331,376,1108,61.52,61.61
332,370,1125,61.52,61.61
334,364,1141,61.52,61.61
335,358,1157,61.52,61.61
338,351,1174,61.52,61.61
341,345,1190,61.52,61.61
345,338,1206,61.52,61.61
347,334,1222,59.77,62.67
350,329,1238,59.77,62.67
356,322,1258,59.77,62.67
358,319,1271,59.77,62.67
364,315,1288,59.77,62.67
370,311,1303,59.77,62.67
376,308,1320,58.89,62.93
382,305,1336,58.89,62.93
391,301,1352,58.89,62.93
402,298,1370,58.89,62.93
410,295,1384,58.89,62.93
417,294,1401,58.89,62.93
423,293,1419,58.71,62.75
431,294,1435,58.71,62.75
434,294,1451,58.71,62.75
437,294,1468,58.71,62.75
442,297,1484,58.71,62.75
448,299,1500,58.71,62.75
454,302,1517,58.80,61.96
460,306,1534,58.80,61.96
466,309,1551,58.80,61.96
469,312,1566,58.80,61.96
475,316,1584,58.80,61.96
480,319,1601,58.80,61.96
485,323,1618,58.80,61.44
490,327,1635,58.80,61.44
494,332,1650,58.80,61.44
498,337,1668,58.80,61.44
502,342,1683,58.80,61.44
506,346,1701,58.80,61.44
511,351,1717,59.15,58.89
516,356,1733,59.15,58.89
521,362,1750,59.15,58.89
525,366,1767,59.15,58.89
528,372,1783,59.15,58.89
532,379,1799,59.15,58.89
535,390,1816,59.15,58.89
538,400,1831,60.73,59.06
538,407,1847,60.73,59.06
539,416,1865,60.73,59.06
540,423,1881,60.73,59.06
540,432,1898,60.73,59.06
539,439,1915,60.73,59.06
538,448,1930,63.02,58.89
535,456,1947,63.02,58.89
533,462,1963,63.02,58.89
529,469,1979,63.02,58.89
523,481,1996,63.02,58.89
518,489,2013,63.02,58.89
514,494,2028,64.78,58.10
506,502,2045,64.78,58.10
496,514,2062,64.78,58.10
489,522,2079,64.78,58.10
481,529,2097,64.78,58.10
471,536,2112,64.78,58.10
463,542,2129,66.62,57.92
453,548,2145,66.62,57.92
446,552,2161,66.62,57.92
436,558,2177,66.62,57.92
421,566,2195,66.62,57.92
412,570,2211,66.62,57.92
402,573,2229,67.59,58.18
391,575,2245,67.59,58.18
382,577,2261,67.59,58.18
372,578,2278,67.59,58.18
366,578,2292,67.59,58.18
356,578,2309,67.59,58.18
347,578,2325,67.59,58.18
338,576,2341,67.85,59.06
330,574,2357,67.85,59.06
322,571,2373,67.85,59.06
315,567,2390,67.85,59.06
308,563,2407,67.85,59.06
303,561,2423,67.85,59.06
300,558,2440,67.76,58.45
295,554,2458,67.76,58.45
289,548,2475,67.76,58.45
282,542,2491,67.76,58.45
275,536,2508,67.76,58.45
272,533,2523,67.76,58.45
266,526,2539,67.32,58.97
260,520,2555,67.32,58.97
253,510,2572,67.32,58.97
244,498,2588,67.32,58.97
239,490,2604,67.32,58.97
233,481,2620,67.32,58.97
230,471,2637,65.48,61.70
225,462,2653,65.48,61.70
220,452,2671,65.48,61.70
218,444,2686,65.48,61.70
214,434,2704,65.48,61.70
209,426,2720,65.48,61.70
206,415,2737,62.75,64.60
203,406,2751,62.75,64.60
202,395,2769,62.75,64.60
200,386,2786,62.75,64.60
199,376,2803,62.75,64.60
