x,y,timestamp,encoder_1_deg,encoder_2_deg
407,395,297,63.72,58.27
407,396,312,63.72,58.27
407,396,329,63.63,58.27
407,396,347,63.63,58.27
409,397,364,63.63,58.27
410,398,380,63.63,58.27
410,399,396,63.63,58.27
412,402,414,63.63,58.27
414,405,432,63.63,58.18
414,408,448,63.63,58.18
414,411,465,63.63,58.18
414,415,482,63.63,58.18
414,419,498,63.63,58.18
413,423,515,63.63,58.18
411,428,531,63.72,58.01
409,432,549,63.72,58.01
406,436,565,63.72,58.01
401,440,582,63.72,58.01
397,442,599,63.72,58.01
392,446,616,63.72,58.01
387,446,633,63.98,57.92
383,448,648,63.98,57.92
378,448,666,63.98,57.92
374,446,683,63.98,57.92
370,446,700,63.98,57.92
365,442,717,63.98,57.92
361,440,732,64.07,58.36
357,437,750,64.07,58.36
354,433,767,64.07,58.36
350,429,784,64.07,58.36
346,423,799,64.07,58.36
342,417,816,64.07,58.36
339,413,832,63.98,58.97
337,407,849,63.98,58.97
334,402,866,63.98,58.97
331,396,882,63.98,58.97
329,390,901,63.98,58.97
327,385,917,63.98,58.97
326,379,934,63.19,59.85
325,374,951,63.19,59.85
323,368,967,63.19,59.85
322,363,984,63.19,59.85
322,358,1000,63.19,59.85
322,353,1017,63.19,59.85
322,348,1034,61.96,60.91
323,343,1051,61.96,60.91
325,339,1066,61.96,60.91
326,334,1082,61.96,60.91
329,330,1100,61.96,60.91
331,326,1117,61.96,60.91
334,323,1132,61.00,61.61
338,318,1149,61.00,61.61
343,314,1167,61.00,61.61
347,310,1184,61.00,61.61
352,306,1201,61.00,61.61
357,303,1218,61.00,61.61
362,301,1234,60.12,61.79
366,298,1251,60.12,61.79
372,296,1267,60.12,61.79
378,294,1285,60.12,61.79
383,292,1301,60.12,61.79
389,291,1318,60.12,61.79
394,290,1335,60.12,61.79
400,289,1351,59.85,61.52
406,288,1368,59.85,61.52
412,287,1384,59.85,61.52
417,287,1401,59.85,61.52
423,288,1418,59.85,61.52
429,288,1435,59.94,61.00
434,289,1452,59.94,61.00
442,290,1472,59.94,61.00
448,292,1490,59.94,61.00
452,294,1503,59.94,61.00
458,296,1520,59.94,61.00
464,298,1537,59.94,60.03
471,303,1556,59.94,60.03
476,306,1573,59.94,60.03
481,310,1590,59.94,60.03
486,314,1605,59.94,60.03
489,316,1619,59.94,60.03
494,320,1635,59.94,60.03
498,325,1651,59.85,59.15
502,332,1671,59.85,59.15
506,338,1688,59.85,59.15
509,342,1703,59.85,59.15
514,348,1720,59.85,59.15
519,354,1737,59.85,59.15
523,359,1753,60.64,58.54
526,365,1771,60.64,58.54
529,370,1788,60.64,58.54
531,378,1805,60.64,58.54
533,386,1822,60.64,58.54
535,395,1838,60.64,58.54
536,402,1855,62.31,57.57
537,410,1871,62.31,57.57
537,417,1887,62.31,57.57
537,426,1903,62.31,57.57
537,431,1918,62.31,57.57
536,439,1934,62.31,57.57
535,448,1950,64.34,56.51
534,458,1968,64.34,56.51
532,466,1985,64.34,56.51
530,471,2001,64.34,56.51
529,480,2017,64.34,56.51
526,488,2034,64.34,56.51
522,496,2049,66.62,55.55
518,506,2065,66.62,55.55
514,514,2081,66.62,55.55
508,522,2098,66.62,55.55
502,529,2114,66.62,55.55
498,534,2131,66.62,55.55
494,537,2147,68.55,55.02
486,546,2163,68.55,55.02
475,552,2180,68.55,55.02
467,556,2198,68.55,55.02
459,558,2213,68.55,55.02
450,561,2231,68.55,55.02
442,562,2248,68.55,55.02
433,562,2265,69.43,55.20
423,562,2282,69.43,55.20
410,561,2300,69.43,55.20
400,560,2317,69.43,55.20
393,559,2333,69.43,55.20
379,556,2350,69.52,56.07
371,555,2365,69.52,56.07
361,552,2382,69.52,56.07
350,550,2399,69.52,56.07
335,545,2418,69.52,56.07
325,542,2434,69.52,56.07
318,538,2449,69.52,56.07
308,534,2466,69.43,57.83
298,528,2482,69.43,57.83
289,522,2499,69.43,57.83
280,517,2515,69.43,57.83
271,510,2532,69.43,57.83
264,503,2549,69.43,57.83
256,496,2566,68.29,59.50
249,488,2582,68.29,59.50
242,479,2598,68.29,59.50
236,469,2615,68.29,59.50
231,460,2631,68.29,59.50
226,450,2648,68.29,59.50
222,439,2664,65.83,61.08
218,429,2681,65.83,61.08
214,417,2698,65.83,61.08
211,406,2715,65.83,61.08
209,397,2731,65.83,61.08
208,386,2749,65.83,61.08
206,376,2766,63.11,64.16
206,366,2782,63.11,64.16
205,356,2799,63.11,64.16
205,346,2815,63.11,64.16
205,340,2831,63.11,64.16
206,330,2848,63.11,64.16
208,318,2867,60.73,66.45
209,312,2882,60.73,66.45
211,302,2898,60.73,66.45
214,293,2915,60.73,66.45
218,284,2932,60.73,66.45
223,275,2949,60.73,66.45
228,266,2965,58.18,68.03
233,258,2983,58.18,68.03
242,246,3000,58.18,68.03
246,241,3015,58.18,68.03
254,233,3032,58.18,68.03
261,226,3049,58.18,68.03
271,217,3068,55.99,68.91
276,213,3083,55.99,68.91
286,206,3102,55.99,68.91
295,201,3118,55.99,68.91
300,198,3133,55.99,68.91
308,194,3150,55.99,68.91
317,189,3166,54.58,68.99
325,185,3183,54.58,68.99
333,182,3199,54.58,68.99
342,178,3215,54.58,68.99
350,176,3232,54.58,68.99
358,174,3249,54.58,68.99
366,172,3265,54.05,68.64
375,170,3282,54.05,68.64
383,168,3299,54.05,68.64
391,166,3315,54.05,68.64
400,166,3331,54.05,68.64
408,165,3349,54.05,68.64
414,165,3365,53.79,67.94
421,166,3381,53.79,67.94
430,166,3398,53.79,67.94
438,168,3413,53.79,67.94
444,170,3431,53.79,67.94
453,170,3448,53.79,67.94
462,172,3464,53.79,67.94
469,174,3481,53.79,66.80
478,176,3498,53.79,66.80
486,178,3514,53.79,66.80
491,181,3530,53.79,66.80
502,184,3547,53.79,66.80
511,187,3564,53.79,66.80
521,190,3581,53.79,65.39
530,194,3598,53.79,65.39
538,197,3615,53.79,65.39
547,201,3633,53.79,65.39
556,205,3648,53.79,65.39
566,209,3666,53.79,65.39
576,214,3682,54.14,64.07
585,220,3698,54.14,64.07
594,226,3715,54.14,64.07
602,232,3731,54.14,64.07
610,239,3748,54.14,64.07
616,246,3763,54.14,64.07
622,255,3780,55.63,61.17
627,263,3797,55.63,61.17
631,273,3813,55.63,61.17
634,283,3831,55.63,61.17
636,294,3847,55.63,61.17
638,306,3864,55.63,61.17
638,318,3881,58.18,58.27
639,334,3899,58.18,58.27
639,347,3915,58.18,58.27
639,356,3930,58.18,58.27
639,370,3947,58.18,58.27
638,386,3965,58.18,58.27
638,399,3982,61.79,56.43
638,406,3997,61.79,56.43
638,421,4015,61.79,56.43
638,433,4031,61.79,56.43
638,444,4047,61.79,56.43
638,454,4064,61.79,56.43
638,465,4081,65.57,54.84
638,475,4097,65.57,54.84
638,486,4114,65.57,54.84
638,494,4131,65.57,54.84
638,506,4147,65.57,54.84
638,515,4162,65.57,54.84
636,526,4179,65.57,54.84
634,536,4197,68.91,53.26
630,546,4213,68.91,53.26
627,554,4230,68.91,53.26
623,564,4245,68.91,53.26
618,572,4262,68.91,53.26
612,580,4279,71.63,52.03
606,587,4296,71.63,52.03
597,595,4312,71.63,52.03
588,602,4329,71.63,52.03
578,609,4347,71.63,52.03
567,615,4363,71.63,52.03
556,621,4380,71.63,52.03
543,626,4396,73.04,51.86
529,632,4413,73.04,51.86
514,637,4430,73.04,51.86
498,642,4447,73.04,51.86
481,647,4463,73.04,51.86
464,653,4480,73.04,51.86
446,658,4496,73.74,52.73
427,662,4512,73.74,52.73
409,666,4530,73.74,52.73
390,669,4546,73.74,52.73
372,671,4563,73.74,52.73
354,673,4581,73.74,52.73
330,674,4599,73.74,54.32
318,673,4612,73.74,54.32
300,671,4628,73.74,54.32
282,669,4645,73.74,54.32
265,666,4661,73.74,54.32
246,663,4677,73.74,54.32
229,659,4695,73.74,57.04
210,654,4711,73.74,57.04
194,648,4728,73.74,57.04
179,642,4744,73.74,57.04
164,633,4760,73.74,57.04
155,627,4776,73.74,57.04
138,612,4794,73.04,58.45
126,601,4811,73.04,58.45
119,592,4826,73.04,58.45
109,577,4842,73.04,58.45
100,562,4859,73.04,58.45
93,546,4874,73.04,58.45
86,528,4893,69.52,63.11
80,510,4909,69.52,63.11
75,491,4925,69.52,63.11
71,473,4943,69.52,63.11
68,454,4959,69.52,63.11
66,436,4976,69.52,63.11
65,417,4993,64.95,67.94
64,399,5011,64.95,67.94
64,380,5027,64.95,67.94
66,361,5043,64.95,67.94
66,349,5059,64.95,67.94
68,330,5076,64.95,67.94
71,314,5093,60.21,72.25
74,296,5109,60.21,72.25
79,279,5126,60.21,72.25
86,262,5142,60.21,72.25
92,247,5158,60.21,72.25
99,232,5174,60.21,72.25
108,217,5191,60.21,72.25
117,203,5209,55.72,74.88
125,194,5222,55.72,74.88
140,176,5241,55.72,74.88
149,167,5255,55.72,74.88
162,154,5272,55.72,74.88
176,142,5289,55.72,74.88
191,131,5305,52.21,76.29
207,119,5321,52.21,76.29
224,110,5338,52.21,76.29
242,99,5354,52.21,76.29
260,90,5371,52.21,76.29
272,84,5385,52.21,76.29
291,75,5401,49.39,76.46
310,68,5419,49.39,76.46
329,61,5434,49.39,76.46
349,56,5451,49.39,76.46
368,52,5468,49.39,76.46
387,49,5484,49.39,76.46
407,46,5501,47.64,75.76
426,45,5519,47.64,75.76
444,44,5535,47.64,75.76
464,45,5551,47.64,75.76
481,48,5568,47.64,75.76
